"fam","sp","environment","DF","SVL","logDF","logSVL"
"Megophyidae","Leptobrachium_gunungense","flowing",1200,65,7.0900768358,4.1743872699
"Megophyidae","Leptobrachium_montanum","flowing",800,62.7,6.6846117277,4.1383614476
"Megophyidae","Leptolalax_arayai","flowing",5588,29.6,8.6283767204,3.3877743613
"Megophyidae","Leptolalax_oshanensis","flowing",4512,30.7,8.4144957932,3.4242626546
"Megophyidae","Leptolalax_pictus","flowing",7000,36,8.853665428,3.5835189385
"Megophyidae","Megophrys_nasuta","flowing",2250,105,7.7186854952,4.6539603502
"Megophyidae","Oreolalax_omeimontis","flowing",1071,58.4,6.9763480704,4.0673158898
"Megophyidae","Xenophrys_minor","flowing",3456,32,8.1478671299,3.4657359028
