"fam","sp","environment","DF","SVL","logDF","logSVL"
"Hylodidae","Crossodactylus_caramaschii","flowing",5000,25.8,8.5171931914,3.2503744919
"Hylodidae","Crossodactylus_schmidti","flowing",3306,30,8.1034942784,3.4011973817
"Hylodidae","Hylodes_dactylocinus","flowing",2973,27,7.997326823,3.295836866
"Hylodidae","Hylodes_meridionalis","flowing",4400,37.5,8.3893598199,3.624340933
"Hylodidae","Hylodes_perplicatus","flowing",3400,39.8,8.1315307106,3.6838669123
"Hylodidae","Hylodes_phyllodes","flowing",5000,31.4,8.5171931914,3.4468078929
"Hylodidae","Hylodes_sazimai","flowing",4750,28.5,8.465899897,3.3499040873
