"fam","sp","environment","DF","SVL","logDF","logSVL"
"Hylidae","Hypsiboas_pardalis","still",1133,69,7.032624261,4.2341065046
"Hylidae","Hypsiboas_pellucens","still",800,61.6,6.6846117277,4.1206618705
"Hylidae","Hypsiboas_roraima","flowing",2616,44.9,7.8694017126,3.8044377947
"Hylidae","Hypsiboas_rufitelus","still",1600,49.2,7.3777589082,3.8958936235
"Hylidae","Hypsiboas_semiguttatus","flowing",2450,46.1,7.8038433035,3.83081295
"Hylidae","Hypsiboas_semilineatus","still",1014,51,6.9216581842,3.9318256327
"Hylidae","Isthmohyla_pseudopuma","still",956,41.4,6.8627579131,3.7232808808
"Hylidae","Isthmohyla_rivularis","flowing",2420,34,7.7915228192,3.5263605246
"Hylidae","Isthmohyla_tica","flowing",2228,34.1,7.708859601,3.5292973843
"Hylidae","Litoria_gracilenta","still",2750,38,7.9193561907,3.6375861597
"Hylidae","Litoria_impura","still",1240,42,7.1228666586,3.7376696183
"Hylidae","Litoria_inermis","still",3800,33,8.2427563457,3.4965075615
"Hylidae","Litoria_latopalmata","still",2900,39,7.972466016,3.6635616461
"Hylidae","Litoria_leucova","flowing",4500,35.4,8.4118326758,3.5667118201
"Hylidae","Litoria_pallida","still",1963,34,7.5822291943,3.5263605246
"Hylidae","Litoria_raniformis","still",900,79.9,6.8023947633,4.3807758528
"Hylidae","Litoria_rheocola","flowing",2500,35.5,7.8240460109,3.5695326965
"Hylidae","Litoria_spartacus","flowing",2919,37.5,7.9789963709,3.624340933
"Hylidae","Litoria_thesaurensis","still",1774,65,7.4809921629,4.1743872699
"Hylidae","Litoria_tornieri","still",2725,33,7.9102237071,3.4965075615
"Hylidae","Litoria_wollastoni","flowing",2950,42.7,7.9895604493,3.7541989202
"Hylidae","Myersiohyla_kanaima","flowing",3600,37.8,8.1886891244,3.6323091026
"Hylidae","Nyctimystes_cheesmani","flowing",1900,40,7.5496091652,3.6888794541
"Hylidae","Osteocephalus_taurinus","still",1501,85,7.3138868316,4.4426512565
"Hylidae","Osteopilus_septentrionalis","still",2300,89,7.7406644019,4.4886363697
"Hylidae","Pachymedusa_dacnicolor","still",1727,82.6,7.4541410781,4.4140096805
"Hylidae","Phyllomedusa_atelopoides","still",1150,37.4,7.0475172214,3.6216707044
"Hylidae","Phyllomedusa_azurea","still",2333,43.46,7.754910272,3.7718409748
"Hylidae","Phyllomedusa_bahiana","still",960,74.5,6.8669332845,4.3107991254
"Hylidae","Phyllomedusa_bicolor","still",940,103,6.8458798753,4.6347289882
"Hylidae","Phyllomedusa_burmeisteri","still",1500,75.8,7.3132203871,4.3280982926
"Hylidae","Phyllomedusa_camba","still",860,74,6.7569323892,4.3040650932
"Hylidae","Phyllomedusa_centralis","flowing",1451,42,7.2800082529,3.7376696183
"Hylidae","Phyllomedusa_distincta","still",1250,66,7.1308988303,4.189654742
"Hylidae","Phyllomedusa_duellmani","still",950,54.2,6.8564619846,3.9926809084
"Hylidae","Phyllomedusa_hypochondrialis","still",2047,43.73,7.6241305857,3.7780343654
"Hylidae","Phyllomedusa_megacephala","flowing",1722,43.2,7.451241685,3.7658404953
"Hylidae","Phyllomedusa_neildi","still",762,63.8,6.6359465557,4.1557531904
"Hylidae","Phyllomedusa_nordestina","still",2076,42.1,7.6381982443,3.7400477407
"Hylidae","Phyllomedusa_palliata","still",1500,43.8,7.3132203871,3.7796338174
"Hylidae","Phyllomedusa_sauvagii","still",2000,89.2,7.6009024595,4.4908810396
"Hylidae","Phyllomedusa_tarsius","still",870,90,6.7684932116,4.4998096703
"Hylidae","Phyllomedusa_tetraploidea","still",1700,63.8,7.43838353,4.1557531904
"Hylidae","Phyllomedusa_tomopterna","still",1790,54,7.4899708988,3.9889840466
"Hylidae","Phyllomedusa_trinitatis","still",800,81,6.6846117277,4.3944491547
"Hylidae","Plectrohyla_cyclada","flowing",2072,39.5,7.6362696034,3.6763006719
"Hylidae","Pseudacris_brachyphona","still",2394,32,7.7807208861,3.4657359028
"Hylidae","Pseudacris_clarkii","still",3072,29,8.0300840943,3.36729583
"Hylidae","Pseudacris_feriarum","still",2977,27.3,7.998671361,3.3068867022
"Hylidae","Pseudacris_fouquettei","still",3138,29.8,8.0513409333,3.3945083935
"Hylidae","Pseudacris_illinoensis","still",2168,43,7.6815603626,3.7612001157
"Hylidae","Pseudacris_kalmi","still",2972,38.1,7.9969904058,3.6402142821
"Hylidae","Pseudacris_nigrita","still",3149,28,8.0548402211,3.3322045102
"Hylidae","Pseudacris_ornata","still",2651,39,7.8826922063,3.6635616461
"Hylidae","Pseudacris_triseriata","still",2776,32,7.9287663216,3.4657359028
"Hylidae","Pseudis_bolbodactyla","still",1937,45,7.5688956634,3.8066624898
"Hylidae","Ptychohyla_euthysanota","flowing",3100,37.3,8.0391573905,3.6189933266
"Hylidae","Ptychohyla_leonhardschultzei","flowing",2750,35.6,7.9193561907,3.5723456379
"Hylidae","Ptychohyla_spinipollex","flowing",4300,41.2,8.3663703017,3.7184382564
"Hylidae","Scinax_berthae","still",4886,22.2,8.4941292518,3.1000922889
"Hylidae","Scinax_boesemani","still",1420,31.1,7.2584121506,3.4372078192
"Hylidae","Scinax_boulengeri","still",1615,48.7,7.3870902357,3.8856790301
"Hylidae","Scinax_crospedospilus","still",1350,33.3,7.2078598714,3.505557397
"Hylidae","Scinax_cruentommus","still",3300,28,8.1016777475,3.3322045102
"Hylidae","Scinax_fuscovarius","still",855,47.1,6.7511014689,3.852273001
"Hylidae","Scinax_nasicus","still",1064,37,6.9697906699,3.6109179126
"Hylidae","Scinax_proboscideus","still",2012,39.8,7.6068845312,3.6838669123
"Hylidae","Scinax_rostratus","still",3050,45.7,8.0228968696,3.8220982979
"Hylidae","Scinax_ruber","still",700,41.2,6.551080335,3.7184382564
"Hylidae","Scinax_staufferi","still",3056,29,8.0248621503,3.36729583
"Hylidae","Scinax_sugillatus","still",2023,42,7.6123368372,3.7376696183
"Hylidae","Scinax_uruguayus","still",4350,25.8,8.3779311241,3.2503744919
"Hylidae","Scinax_x-signatus","still",1110,42.5,7.0121152943,3.7495040759
"Hylidae","Smilisca_baudinii","still",350,76,5.8579331545,4.3307333403
"Hylidae","Smilisca_fodiens","still",2230,62.6,7.7097568645,4.1367652781
"Hylidae","Smilisca_phaeota","still",372,65.5,5.9188938543,4.1820501426
"Hylidae","Smilisca_puma","still",740,38.1,6.6066501862,3.6402142821
"Hylidae","Smilisca_sordida","flowing",2695,45,7.8991534833,3.8066624898
"Hylidae","Sphaenorhynchus_lacteus","still",2240,41.5,7.7142311448,3.7256934272
"Hylidae","Sphaenorhynchus_orophilus","still",2350,32,7.7621706071,3.4657359028
"Hylidae","Tlalocohyla_loquax","still",2323,44.7,7.7506147328,3.7999735016
"Hylidae","Tlalocohyla_picta","still",2661,21.4,7.886457271,3.063390922
"Hylidae","Trachycephalus_coriaceus","still",2090,63,7.644919345,4.1431347264
"Hylidae","Trachycephalus_mesophaeus","still",1014,85,6.9216581842,4.4426512565
"Hylidae","Trachycephalus_nigromaculatus","still",1990,86,7.5958899177,4.4543472963
"Hylidae","Triprion_petasatus","still",2096,60.8,7.6477860454,4.107589789
