"fam","sp","environment","DF","SVL","logDF","logSVL"
"Ptychadenidae","Hildebrandtia_ornata","still",1400,65,7.2442275156,4.1743872699
"Ptychadenidae","Ptychadena_anchietae","still",1750,51,7.4673710669,3.9318256327
"Ptychadenidae","Ptychadena_mahnerti","still",3000,42,8.0063675677,3.7376696183
"Ptychadenidae","Ptychadena_oxyrhynchus","still",1715,53,7.4471683596,3.9702919136
"Ptychadenidae","Ptychadena_porosissima","still",4091,44.1,8.3165447179,3.7864597825
"Ptychadenidae","Ptychadena_taenioscelis","still",2450,35,7.8038433035,3.5553480615
